Stage,Image,Resolution,Latency (s),Throughput (fps),RAM (MB),CPU (%),Est. Energy (Units)
01_grayscale,gray_base.png,N/A,0.0162,61.62,40.40,0.00,0.00
01_grayscale,gray_base.png,N/A,0.0040,250.00,40.39,0.00,0.00
02_median_blur,median_k3.png,N/A,0.0019,526.20,40.60,0.00,0.00
02_median_blur,median_k5.png,N/A,0.0050,201.01,40.62,66.50,0.33
02_median_blur,median_k7.png,N/A,0.1193,8.38,40.64,90.10,10.75
02_median_blur,median_k9.png,N/A,0.1389,7.20,40.64,99.90,13.88
02_median_blur,median_k11.png,N/A,0.1263,7.92,40.64,90.10,11.38
02_median_blur,median_k13.png,N/A,0.1250,8.00,40.64,100.20,12.53
02_median_blur,median_k15.png,N/A,0.1847,5.41,40.64,107.20,19.80
03_adaptive_threshold,thresh_bs9_c2.png,N/A,0.0165,60.56,38.70,0.00,0.00
03_adaptive_threshold,thresh_bs9_c5.png,N/A,0.0020,497.37,38.71,104.20,0.21
03_adaptive_threshold,thresh_bs9_c9.png,N/A,0.0011,902.97,38.71,0.00,0.00
03_adaptive_threshold,thresh_bs9_c12.png,N/A,0.0020,498.43,38.72,0.00,0.00
03_adaptive_threshold,thresh_bs11_c2.png,N/A,0.0018,557.53,38.71,0.00,0.00
03_adaptive_threshold,thresh_bs11_c5.png,N/A,0.0021,481.88,38.72,0.00,0.00
03_adaptive_threshold,thresh_bs11_c9.png,N/A,0.0020,498.37,38.71,0.00,0.00
03_adaptive_threshold,thresh_bs11_c12.png,N/A,0.0021,483.33,38.72,0.00,0.00
03_adaptive_threshold,thresh_bs13_c2.png,N/A,0.0042,240.87,38.71,97.70,0.41
03_adaptive_threshold,thresh_bs13_c5.png,N/A,0.0013,785.45,38.72,0.00,0.00
03_adaptive_threshold,thresh_bs13_c9.png,N/A,0.0022,458.04,38.71,0.00,0.00
03_adaptive_threshold,thresh_bs13_c12.png,N/A,0.0020,490.56,38.72,104.20,0.21
03_adaptive_threshold,thresh_bs15_c2.png,N/A,0.0018,566.42,38.73,0.00,0.00
03_adaptive_threshold,thresh_bs15_c5.png,N/A,0.0010,1001.27,38.73,0.00,0.00
03_adaptive_threshold,thresh_bs15_c9.png,N/A,0.0010,1000.07,38.73,0.00,0.00
03_adaptive_threshold,thresh_bs15_c12.png,N/A,0.0020,498.55,38.73,0.00,0.00
04_bilateral_filter,bilateral_d9_sc75_ss75.png,N/A,0.0290,34.43,42.16,0.00,0.00
04_bilateral_filter,bilateral_d11_sc150_ss150.png,N/A,0.0365,27.39,42.33,249.30,9.10
04_bilateral_filter,bilateral_d15_sc200_ss200.png,N/A,0.0689,14.52,42.38,401.40,27.65
04_bilateral_filter,bilateral_d9_sc300_ss300.png,N/A,0.0293,34.15,42.62,396.80,11.62
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.1143,8.75,47.97,0.00,0.00
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.0980,10.20,47.80,0.00,0.00
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.1593,6.28,47.91,0.00,0.00
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.0908,11.01,48.00,0.00,0.00
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.1370,7.30,48.08,0.00,0.00
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.1023,9.78,47.86,0.00,0.00
05_complete_pipeline,final_cartoon_full_pipeline.png,N/A,0.0939,10.65,47.87,0.00,0.00
03_adaptive_threshold,thresh_bs5_c2.png,N/A,0.0033,299.85,38.70,0.00,0.00
03_adaptive_threshold,thresh_bs5_c5.png,N/A,0.0030,328.78,38.72,0.00,0.00
